,name,cost_text,coordinates,desc,beds,baths,parkings,weekly_rent
https://www.domain.com.au/301-68-la-trobe-street-melbourne-vic-3000-16616611,301/68 La Trobe Street Melbourne VIC 3000,$690 per week,"[-37.8083648, 144.9667899]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,1.0,1.0,690.0
https://www.domain.com.au/24-27-flinders-lane-melbourne-vic-3000-16615518,24/27 Flinders Lane Melbourne VIC 3000,$585 per week,"[-37.8147317, 144.9733655]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,1.0,0.0,585.0
https://www.domain.com.au/324-63-spencer-street-melbourne-vic-3000-16602619,324/63 Spencer Street Melbourne VIC 3000,$725 pw,"[-37.8200332, 144.9542952]","Situated in the Historic & Iconic 'Grand Central building' sits this 3-bedroom split level apartment that is full of features, style and charm.",3.0,1.0,1.0,725.0
https://www.domain.com.au/403-543-elizabeth-street-melbourne-vic-3000-16594576,403/543 Elizabeth Street Melbourne VIC 3000,From $760 per week,"[-37.8054298, 144.9586458]","This stunning addition to the north of the CBD perfectly encapsulates the blend of Melbourne's architectural history and its contemporary future. Retaining the heritage facade of this Streamline Moderne building built in 1937 by RM. and M.H King Architects, a new 13-level construction integrates the notable design of the past with modern amenities and city living.",2.0,2.0,0.0,760.0
https://www.domain.com.au/1004-336-russell-street-melbourne-vic-3000-16593055,1004/336 Russell Street Melbourne VIC 3000,$675 per week,"[-37.8083819, 144.9663215]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,2.0,1.0,675.0
https://www.domain.com.au/402-543-elizabeth-street-melbourne-vic-3000-16574953,402/543 Elizabeth Street Melbourne VIC 3000,From $515 per week,"[-37.8054298, 144.9586458]","This stunning addition to the north of the CBD perfectly encapsulates the blend of Melbourne's architectural history and its contemporary future. Retaining the heritage facade of this Streamline Moderne building built in 1937 by RM. and M.H King Architects, a new 13-level construction integrates the notable design of the past with modern amenities and city living.",1.0,1.0,0.0,515.0
https://www.domain.com.au/401-543-elizabeth-street-melbourne-vic-3000-16574952,401/543 Elizabeth Street Melbourne VIC 3000,From $670 per week,"[-37.8054298, 144.9586458]","This stunning addition to the north of the CBD perfectly encapsulates the blend of Melbourne's architectural history and its contemporary future. Retaining the heritage facade of this Streamline Moderne building built in 1937 by RM. and M.H King Architects, a new 13-level construction integrates the notable design of the past with modern amenities and city living.",2.0,1.0,0.0,670.0
https://www.domain.com.au/505-422-collins-street-melbourne-vic-3000-16573988,505/422 Collins Street Melbourne VIC 3000,$550 per week,"[-37.8170971, 144.9601487]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,1.0,0.0,550.0
https://www.domain.com.au/703-233-collins-street-melbourne-vic-3000-16633057,703/233 Collins Street Melbourne VIC 3000,$600 per week,"[-37.8158618, 144.9660296]",nbn® Fibre to the Building (FTTB) is available in this property ,1.0,1.0,0.0,600.0
https://www.domain.com.au/808-483-swanston-street-melbourne-vic-3000-16607595,808/483 Swanston Street Melbourne VIC 3000,$520.00,"[-37.8072179, 144.9623358]",nbn® Fibre to the Building (FTTB) is available in this property ,1.0,1.0,0.0,520.0
https://www.domain.com.au/2206-620-collins-st-melbourne-vic-3000-16577567,2206/620 Collins St Melbourne VIC 3000,$460 weekly,"[-37.8186626, 144.9543471]",nbn® Fibre to the Building (FTTB) is available in this property ,1.0,1.0,0.0,460.0
https://www.domain.com.au/305-585-latrobe-street-melbourne-vic-3000-15852588,305/585 Latrobe Street Melbourne VIC 3000,380 per week,"[-37.8132649, 144.9518327]","**Booking an inspection is essential**Registering your details allows us to keep you informed with instant confirmations, reminders, updates on available inspection times, changes or cancellations for your appointment.Inspections may be cancelled if there are no registered attendees",1.0,1.0,0.0,380.0
https://www.domain.com.au/401-68-la-trobe-street-melbourne-vic-3000-16630498,401/68 La Trobe Street Melbourne VIC 3000,$700,"[-37.8083648, 144.9667899]",nbn® Fibre to the Building (FTTB) is available in this property ,3.0,1.0,1.0,700.0
https://www.domain.com.au/2109-350-william-street-melbourne-vic-3000-16605835,2109/350 William Street Melbourne VIC 3000,$650 Per Week,"[-37.8112625, 144.9566204]",nbn® Fibre to the Premises (FTTP) is available in this property ,2.0,2.0,0.0,650.0
https://www.domain.com.au/3013-22-24-jane-bell-lane-melbourne-vic-3000-16591249,3013/22-24 Jane Bell Lane Melbourne VIC 3000,$820,"[-37.81020729999999, 144.9662711]","Welcome to a world of convenience at Apartment 3013, situated in the heart of Melbourne's vibrant landscape. This prestigious 2-bedroom, 2-bathroom gem offers an unparalleled urban lifestyle, complete with secure parking for not one, but two of your prized vehicles.",2.0,2.0,2.0,820.0
https://www.domain.com.au/1701-265-exhibition-street-melbourne-vic-3000-16589022,1701/265 Exhibition Street Melbourne VIC 3000,"$1,000 per week","[-37.8095116, 144.9691204]",nbn® Fibre to the Building (FTTB) is available in this property ,3.0,2.0,1.0,1000.0
https://www.domain.com.au/813-339-swanston-street-melbourne-vic-3000-16583950,813/339 Swanston Street Melbourne VIC 3000,$530 per week,"[-37.8103818, 144.9638079]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,1.0,0.0,530.0
https://www.domain.com.au/513-33-mackenzie-street-melbourne-vic-3000-16582166,513/33 Mackenzie Street Melbourne VIC 3000,550,"[-37.8078362, 144.9669868]",nbn® Fibre to the Building (FTTB) is available in this property ,1.0,1.0,0.0,550.0
https://www.domain.com.au/3004-318-queen-street-melbourne-vic-3000-16566474,3004/318 Queen Street Melbourne VIC 3000,$680,"[-37.8112667, 144.9592612]",PLEASE NOTE: Inspection times are subject to change at any time and if you do not register you will not be notified of any updates on Inspection Times or Property Availability or cancellations.,2.0,1.0,0.0,680.0
