,name,geometry,cost,beds,baths,parkings,SA2_CODE21,SA2_NAME21,Nearest_station,Nearest_park,Nearest_shop,Nearest_hospital,Nearest_school,Nearest_supermarket
388,2114/33 Mackenzie Street Melbourne VIC 3000,POINT (144.9669868 -37.8078362),520.0,1.0,1.0,,206041503,Melbourne CBD - East,0.8886000000000001,1.4221,0.7432000000000001,1.8379,0.2596,1.2033333333333334
389,4207/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),1295.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
401,3004/141 La Trobe St Melbourne VIC 3000,POINT (144.9674745 -37.8087593),620.0,1.0,1.0,,206041503,Melbourne CBD - East,0.9891,1.8208,0.7871,2.2365999999999997,0.6582,2.0566666666666666
405,2658/181 Exhibition Street Melbourne VIC 3000,POINT (144.970058 -37.8114561),85.0,1.0,1.0,,206041503,Melbourne CBD - East,0.4423,2.0385999999999997,0.4328,2.4544,0.1432,0.895
409,3001/36 La Trobe Street Melbourne VIC 3000,POINT (144.967594 -37.8081637),560.0,1.0,1.0,,206041503,Melbourne CBD - East,0.968,1.5015,0.8226,1.9173,0.339,1.8916666666666666
412,512/181 Exhibition Street Melbourne VIC 3000,POINT (144.9700015 -37.8120109),630.0,2.0,1.0,,206041503,Melbourne CBD - East,0.3015,2.1485,0.5985,2.5643000000000002,0.1206,1.13
416,3001/33 MacKenzie Street Melbourne VIC 3000,POINT (144.9668974 -37.8077035),750.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.8332999999999999,1.4035,0.688,1.8193,0.2409,1.1366666666666667
419,33/140 Flinders Street Melbourne VIC 3000,POINT (144.9703476 -37.816398),580.0,1.0,1.0,,206041503,Melbourne CBD - East,1.8115,2.3826,0.7762,2.7984,0.6107,1.7233333333333334
425,1505/35 Spring Street Melbourne VIC 3000,POINT (144.9740049 -37.8141725),1750.0,2.0,2.0,,206041503,Melbourne CBD - East,0.36069999999999997,2.6702,1.0637999999999999,2.212,0.437,1.9683333333333333
427,707/36 La Trobe Street Melbourne VIC 3000,POINT (144.967594 -37.8081637),560.0,1.0,1.0,,206041503,Melbourne CBD - East,0.968,1.5015,0.8226,1.9173,0.339,1.8916666666666666
