,lga_name,cost,beds,baths,parkings,nearest_station,nearest_park,nearest_shop,nearest_hospital,nearest_school,nearest_supermarket,distance_to_cbd,year,offence_count,population,weekly_income
55,murrindindi,403.4516345577358,3.0,1.0,1.0,47.72833333333333,46.70166666666667,41.59666666666667,47.43333333333333,3.915,21.633333333333333,101.69833333333332,2024,740.74,15233.0,757.1623735338549
56,nillumbik,515.801670660625,3.0,1.0,2.0,6.236666666666666,15.733333333333333,13.101666666666668,20.46833333333333,2.2383333333333337,3.3833333333333333,39.29,2024,1838.55,67578.0,1087.6532894601064
57,northern grampians,329.6569554273592,1.0,1.0,1.0,2.455,4.05,29.265,79.69833333333332,1.01,2.8366666666666664,999.0,2024,983.86,11208.0,754.7283624977989
58,port phillip,543.6730615701781,2.0,1.0,1.0,4.2,10.71,7.611666666666666,9.503333333333334,1.7816666666666667,1.9883333333333333,13.625,2024,12671.63,162386.0,1427.7985655780335
59,pyrenees,373.148180864242,3.0,1.0,2.0,26.756666666666668,2.881666666666667,26.063333333333333,54.88166666666667,2.393333333333333,1.595,999.0,2024,418.51,8100.0,654.5163544677747
61,south gippsland,398.0034745632729,3.0,1.0,1.0,51.62833333333333,45.66666666666666,21.336666666666662,72.44166666666666,2.6866666666666665,3.695,999.0,2024,1841.61,31099.0,737.9067933207572
62,southern grampians,343.7899021663543,2.0,1.0,1.0,78.26333333333334,21.466666666666665,2.43,46.22666666666667,1.6366666666666667,2.53,999.0,2024,1172.26,16086.0,785.0729089843095
63,stonnington,557.1266424523092,2.0,1.0,1.0,2.118333333333333,6.081666666666666,3.755,7.196666666666667,1.93,1.87,14.388333333333332,2024,11201.01,164168.0,1473.581670310586
64,strathbogie,406.4657008668073,1.0,1.0,1.0,1.9183333333333328,62.44833333333334,38.01166666666666,44.806666666666665,0.5266666666666667,2.4883333333333337,999.0,2024,594.83,11243.0,727.0185706247302
65,surf coast,577.9307864143993,3.0,2.0,2.0,16.1,55.13166666666667,18.351666666666667,54.0,2.9016666666666664,4.433333333333334,83.01666666666667,2024,2025.14,36744.0,1103.1157336557171
66,swan hill,371.1105383584727,3.0,2.0,2.0,4.766666666666667,999.0,3.585,61.54666666666667,2.216666666666667,3.943333333333333,999.0,2024,2283.59,20843.0,810.649036291791
67,towong,364.76559266930417,2.0,1.0,1.0,52.48,128.80666666666667,49.495,2.5166666666666666,1.305,2.0216666666666665,999.0,2024,179.72,6145.0,801.9337395867582
68,wangaratta,409.31047990203297,3.0,1.0,2.0,6.3566666666666665,45.52666666666666,4.5616666666666665,70.16666666666667,2.425,4.628333333333333,999.0,2024,2466.36,30049.0,819.8697783248692
